| Step | Action | Expected Result |
|------|--------|------------------|
| 1 | Log in to Digital Customer Portal as Internal user | Landing page is displayed |
| 2 | Click on tile "Report an issue with an order or delivery" | Page with details for reporting an issue is opened - Part 1. Personal information |
| 3 | Enter data in to following fields: | User is able to enter information in specified fields |
| 4 | Click "Next" button | Page with details for reporting an issue is opened - Part 2. Request information |
| 5 | Enter data in to following fields: - Request type - preselected "Order Issue" not possible to modify - Subject - Reason - Siemens Healthineers Team - Sold To - Ship to - Puchase Order or Order Number - add multiple entries by clicking on "+ Add Order Number" - Additional E-Mail - add multiple entries by clicking on "+ Add E-Mail" For reference check attached screenshot | User is able to enter information in specified fields |
| 6 | In section Attachments click on icon "Browse files", select files that will be attached to this issue and click "Open" | Icon with name of each individual file is created in section Attachments |
| 7 | Drag and drop file from your computer in to section Attachments | Icon with name of file is created in section Attachments |
| 8 | Click "Next" button | Page with details for reporting an issue is opened - 3. Check your information |
| 9 | Verify that the content of fields on the screen For reference check attached screenshot | Values of the fields are the same as were entered in step 3 and 5 |
| 10 | Check the checkbox "Mark as urgent" | Checkbox can be checked |
| 11 | Click "Save" button | Popup with following text is diplayed: Request saved successfully. For reference check attached screenshot |
| 12 | Click "Cancel" button | Popup with following text is diplayed: Are you sure you want to cancel this request? All progress will be lost. For reference check attached screenshot |
| 13 | Click "Yes, cancel request" button | Landing page is displayed |
| 14 | Click on tile "Show me my Requests" | Page with dashboard with all requests created by the user is opened on tab My Dashboard For reference check attached screenshot |
| 15 | Click on tab "Created Requests" | Page with list of all requests created by the user is opened on tab My Dashboard For reference check attached screenshot |
| 16 | Enter Subject of request created in previous steps in to search field | Request is displayed. |
| 17 | Check Status of request | Request is in status "Saved" |
| 18 | Open the request created in previous steps | Page with details for reporting an issue is opened - Part 1. Personal information |
| 19 | Verify that the content of fields on the page is the same as was entered in step 3 and that you are able to edit following: - Mobile - Country - State - Preferred language | Values of the fields are the same as were entered in step 3. User is able to modify values in fields listed in step |
| 20 | Click "Next" button | Page with details for reporting an issue is opened - Part 2. Request information |
| 21 | Verify that the content of fields on the page is the same as was entered in step 5 and that you are able to edit following: - Subject - Reason - Siemens Healthineers Team - Sold To - Ship to - Puchase Order or Order Number - add multiple entries by clicking on "+ Add Order Number" - Additional E-Mail - add multiple entries by clicking on "+ Add E-Mail" - Attachments For reference check attached screenshot | Values of the fields are the same as were entered in step 5. User is able to modify values in fields listed in step |
| 22 | Click "Next" button | Page with details for reporting an issue is opened - 3. Check your information |
| 23 | Verify that the content of fields on the screen For reference check attached screenshot | Values of the fields are the same as were entered in step 19 and 21 |
| 24 | Click "Save + Submit" button | Popup with following text is diplayed: Save & Submit Request Are you sure you want to submit this request? You will not be able to make any changes after submission For reference check attached screenshot |
| 25 | Click "Yes, submit" button | Popup with following test is displayed: Congratulations! Your issue has been reported. For reference check attached screenshot |
| 26 | Click "Go back to the dashboard" button | Landing page is displayed |
