| Step | Action | Expected Result |
|------|--------|------------------|
| 1 | Click on Schedule button | Schedule screen should be reflected with Tasks, Clipboard, Gantt, Map, Working on Domain options |
| 2 | Click on Task option | Filter, Sorted by : Call Id, Search Task, Split Task list domain, List of notifications option should be reflected |
| 3 | Search the Notification<br> | Notification should be appear under the Clipboard tab and assign the notification to the CSE.<br> |
| 4 | Click on Actions icon of the @notification | Below options should be reflected for each notification<br>Edit<br>Site Assigned Engineers                                                               Change Status<br>Show on Gantt<br>Show on Map<br>Remove from Clipboard<br>Pin Task<br>Comment<br>Check Rules<br>Get Candidates<br>Schedule<br>Unschedule                                                                                   Relaxed Get Candidates |
| 5 | Click on Edit button | Task pop up window should open with below tabs<br>Assignment, General , Bundling, Comments, Time, Customer , Location , Resource, Dependencies, Notes , Functional Location , History |
| 6 | Click on Assigment | Below details should be reflected with Ok, Apply, Cancel buttons<br>Assigment Start<br>Duration<br>Assigment Finish<br>Assigned Resource |
| 7 | Click on General | General notification details are reflected and CSE skills can be added |
| 8 | Click on Comments | Any comments added present in SAP is reflected here with ETA cancellation details and Site Assigned Engineers details |
| 9 | Click on Time | Early start and due date , Appointment date and time All date and time, Schedule details should be reflected |
| 10 | Click on Customer | Customer Details and Contract details should be reflected |
| 11 | Click on Location | Location latitude and longitude details should be reflected |
| 12 | Click on Resource | Primary, Secondary,Required , Additional resources details should be reflected |
| 13 | Click on Dependencies | Time dependencies and Resource dependencies option should be reflected and user should be able to add the same |
| 14 | Click on Notes | Any messages like Site messages, long text should be reflected |
| 15 | Click on Functional Location | FL details should be reflected |
| 16 | Click on History | Notification history details should be reflected |


